"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 06 16:23:10 SAMT 2026","Mon Jul 06 16:23:11 SAMT 2026","550","","Create Order Tests","","api.tests.CreateOrderTest","createOrderWithEmptyIngredients","Create order with empty ingredients list - should return error 400","Test tries to create order with empty ingredients array"
"passed","Mon Jul 06 16:23:14 SAMT 2026","Mon Jul 06 16:23:14 SAMT 2026","587","","Create Order Tests","","api.tests.CreateOrderTest","createOrderWithoutIngredients","Create order without ingredients - should return error 400","Test tries to create order without providing any ingredients"
"passed","Mon Jul 06 16:22:54 SAMT 2026","Mon Jul 06 16:22:55 SAMT 2026","743","","Update User Tests","","api.tests.UpdateUserTest","updateBothFieldsWithAuth","Update both email and name with authorization - should be successful","Test updates both email and name when authorized and verifies the changes"
"passed","Mon Jul 06 16:22:50 SAMT 2026","Mon Jul 06 16:22:50 SAMT 2026","883","","Login User Tests","","api.tests.LoginUserTest","loginWithExistingUser","Login with existing user - should be successful","Test logs in with correct credentials and verifies successful login"
"passed","Mon Jul 06 16:23:11 SAMT 2026","Mon Jul 06 16:23:11 SAMT 2026","691","","Create Order Tests","","api.tests.CreateOrderTest","createOrderWithMixedIngredients","Create order with mixed valid and invalid ingredients - should return error 500","Test tries to create order with some valid and some invalid ingredient IDs"
"passed","Mon Jul 06 16:22:57 SAMT 2026","Mon Jul 06 16:22:58 SAMT 2026","676","","Update User Tests","","api.tests.UpdateUserTest","updateUserNameWithAuth","Update user name with authorization - should be successful","Test updates user's name when authorized and verifies the change"
"passed","Mon Jul 06 16:23:14 SAMT 2026","Mon Jul 06 16:23:15 SAMT 2026","490","","Create User Tests","","api.tests.CreateUserTest","createUniqueUser","Create unique user - should be successful","Test creates a new unique user and verifies successful registration"
"passed","Mon Jul 06 16:23:05 SAMT 2026","Mon Jul 06 16:23:06 SAMT 2026","1933","","Get User Orders Tests","","api.tests.GetUserOrdersTest","getUserOrdersAfterMultipleOrders","Get orders after creating multiple orders - should return all orders","Test creates multiple orders and verifies all are returned"
"passed","Mon Jul 06 16:23:00 SAMT 2026","Mon Jul 06 16:23:03 SAMT 2026","3394","","Get User Orders Tests","","api.tests.GetUserOrdersTest","getUserOrdersWithAuth","Get orders for authorized user - should be successful","Test gets orders for authorized user and verifies response contains orders list"
"passed","Mon Jul 06 16:23:03 SAMT 2026","Mon Jul 06 16:23:05 SAMT 2026","1610","","Get User Orders Tests","","api.tests.GetUserOrdersTest","getUserOrdersForNewUserWithoutOrders","Get orders for new user without orders - should return empty list","Test gets orders for user who hasn't created any orders yet"
"passed","Mon Jul 06 16:22:54 SAMT 2026","Mon Jul 06 16:22:54 SAMT 2026","575","","Update User Tests","","api.tests.UpdateUserTest","updateUserWithoutAuth_Name","Update user name without authorization - should return error 401","Test tries to update user name without access token and expects error"
"passed","Mon Jul 06 16:23:11 SAMT 2026","Mon Jul 06 16:23:12 SAMT 2026","555","","Create Order Tests","","api.tests.CreateOrderTest","createOrderWithoutAuth","Create order without authorization - should be successful","Test creates an order without authorization"
"passed","Mon Jul 06 16:22:51 SAMT 2026","Mon Jul 06 16:22:52 SAMT 2026","762","","Login User Tests","","api.tests.LoginUserTest","loginWithIncorrectPassword","Login with incorrect password - should return error","Test tries to login with wrong password and expects error 401"
"passed","Mon Jul 06 16:22:52 SAMT 2026","Mon Jul 06 16:22:53 SAMT 2026","600","","Login User Tests","","api.tests.LoginUserTest","loginWithIncorrectEmail","Login with incorrect email - should return error","Test tries to login with wrong email and expects error 401"
"passed","Mon Jul 06 16:22:58 SAMT 2026","Mon Jul 06 16:23:00 SAMT 2026","1377","","Get User Orders Tests","","api.tests.GetUserOrdersTest","getUserOrdersWithoutAuth","Get orders for unauthorized user - should return error 401","Test tries to get orders without authorization token and expects error"
"passed","Mon Jul 06 16:22:57 SAMT 2026","Mon Jul 06 16:22:57 SAMT 2026","685","","Update User Tests","","api.tests.UpdateUserTest","updateUserEmailWithAuth","Update user email with authorization - should be successful","Test updates user's email when authorized and verifies the change"
"passed","Mon Jul 06 16:23:13 SAMT 2026","Mon Jul 06 16:23:14 SAMT 2026","1091","","Create Order Tests","","api.tests.CreateOrderTest","createOrderWithIngredients","Create order with valid ingredients - should be successful","Test creates an order with multiple valid ingredients"
"passed","Mon Jul 06 16:23:09 SAMT 2026","Mon Jul 06 16:23:10 SAMT 2026","1134","","Create Order Tests","","api.tests.CreateOrderTest","createOrderWithSingleIngredient","Create order with single ingredient - should be successful","Test creates an order with just one ingredient"
"passed","Mon Jul 06 16:22:41 SAMT 2026","Mon Jul 06 16:22:49 SAMT 2026","8555","","Login User Tests","","api.tests.LoginUserTest","loginWithIncorrectEmailAndPassword","Login with incorrect email and password - should return error","Test tries to login with completely wrong credentials and expects error 401"
"passed","Mon Jul 06 16:23:16 SAMT 2026","Mon Jul 06 16:23:16 SAMT 2026","189","","Create User Tests","","api.tests.CreateUserTest","createUserWithoutEmail","Create user without email - should return error","Test creates user without email field and expects error about required fields"
"passed","Mon Jul 06 16:22:52 SAMT 2026","Mon Jul 06 16:22:52 SAMT 2026","602","","Login User Tests","","api.tests.LoginUserTest","loginWithoutPassword","Login without password - should return error","Test tries to login without providing password"
